frame,x1,y1,x2,y2,confidence
0,829.882080078125,123.46929931640625,1063.7080078125,331.01910400390625,0.8207951188087463
1,830.7064208984375,123.57205200195312,1065.00341796875,330.29266357421875,0.8227704763412476
2,830.1943359375,123.65777587890625,1064.67822265625,330.51715087890625,0.8212065100669861
3,830.2523193359375,124.07644653320312,1064.72705078125,330.792724609375,0.8274232745170593
4,830.1107177734375,123.93838500976562,1064.27099609375,331.3270263671875,0.8216429948806763
5,830.0396728515625,124.880615234375,1065.1553955078125,331.0533447265625,0.8244520425796509
6,830.129638671875,124.09884643554688,1063.8743896484375,330.79571533203125,0.8263679146766663
7,830.2991943359375,123.7855224609375,1063.9674072265625,330.7664794921875,0.8173116445541382
8,830.5025634765625,123.783447265625,1063.9954833984375,330.87408447265625,0.8215605616569519
9,830.5767822265625,124.6429443359375,1064.6434326171875,330.8343505859375,0.825461745262146
10,829.5775146484375,125.99557495117188,1064.6976318359375,331.7435607910156,0.8061291575431824
11,829.8662109375,125.14544677734375,1064.351806640625,331.796630859375,0.7871556878089905
12,829.8323974609375,124.61526489257812,1064.5072021484375,331.7068176269531,0.7989025115966797
13,830.2652587890625,124.50970458984375,1064.2689208984375,331.89471435546875,0.7780295014381409
14,830.39013671875,124.49969482421875,1064.399658203125,331.8639221191406,0.7881621718406677
15,829.427490234375,124.58929443359375,1064.51953125,331.6831970214844,0.7877223491668701
16,828.7974853515625,124.82473754882812,1064.6026611328125,331.83746337890625,0.7919929027557373
17,827.724609375,124.920166015625,1064.8310546875,332.0557861328125,0.7898101210594177
18,828.0765380859375,125.5289306640625,1065.14990234375,332.6921081542969,0.792535126209259
19,827.013427734375,125.64849853515625,1065.211669921875,332.8408203125,0.7925018668174744
20,827.6522216796875,126.010009765625,1065.9906005859375,332.86029052734375,0.7953225374221802
21,828.818115234375,126.61929321289062,1066.5982666015625,333.1298522949219,0.8029796481132507
22,829.33837890625,125.45358276367188,1067.352783203125,334.0441589355469,0.8233190178871155
23,830.2298583984375,126.20120239257812,1067.7239990234375,334.2379455566406,0.8299177885055542
24,829.9273681640625,126.4307861328125,1068.171875,334.127197265625,0.8077576160430908
25,829.0516357421875,126.5172119140625,1068.609130859375,334.04339599609375,0.817522406578064
26,829.1790771484375,126.73330688476562,1068.5614013671875,334.29229736328125,0.8241013288497925
27,829.3470458984375,126.76010131835938,1068.8934326171875,334.2574768066406,0.8107377886772156
28,828.99169921875,126.84701538085938,1068.569580078125,334.2846984863281,0.8180060386657715
29,829.73779296875,127.18966674804688,1069.169189453125,334.1634826660156,0.818722665309906
30,830.7855224609375,127.2105712890625,1069.8704833984375,334.3053894042969,0.8056923747062683
31,830.81298828125,127.4434814453125,1070.1929931640625,333.94256591796875,0.7988319396972656
32,831.4112548828125,127.55731201171875,1070.0406494140625,333.92095947265625,0.7870304584503174
33,831.9979248046875,127.52743530273438,1070.5465087890625,333.7953186035156,0.7936831116676331
34,832.76318359375,127.44900512695312,1070.639404296875,333.9900817871094,0.8033019304275513
35,833.465087890625,127.75131225585938,1070.5474853515625,334.10882568359375,0.8112593293190002
36,835.6822509765625,127.22430419921875,1071.0223388671875,333.79266357421875,0.8220126628875732
37,837.7144775390625,127.63308715820312,1071.2745361328125,334.3002014160156,0.8098633289337158
38,839.4979248046875,127.417236328125,1072.3353271484375,333.70672607421875,0.8349387049674988
39,841.1893310546875,127.39254760742188,1073.0057373046875,333.4024353027344,0.8316129446029663
40,843.8756103515625,127.66845703125,1074.55615234375,333.85894775390625,0.8450429439544678
41,846.60595703125,127.94940185546875,1075.35400390625,334.40191650390625,0.8268067240715027
42,849.2752685546875,128.766357421875,1075.6617431640625,334.54656982421875,0.8387294411659241
43,851.34716796875,128.88623046875,1075.8585205078125,334.7189636230469,0.8376648426055908
44,854.33935546875,128.9663543701172,1075.678955078125,335.12835693359375,0.7570104002952576
45,856.1201171875,129.5196533203125,1076.23974609375,334.9698486328125,0.8287346363067627
46,857.2052001953125,129.84178161621094,1077.3138427734375,336.0821533203125,0.7926307916641235
47,858.9892578125,130.2030029296875,1078.020751953125,336.118408203125,0.8069348335266113
48,860.3975830078125,130.0723419189453,1078.0797119140625,335.50750732421875,0.7919683456420898
49,860.56640625,130.88265991210938,1078.925537109375,335.6482849121094,0.7879346609115601
50,860.7392578125,131.38833618164062,1079.4024658203125,335.9198303222656,0.7079060673713684
51,860.7177734375,131.57894897460938,1079.740478515625,336.4040222167969,0.630196750164032
52,860.919921875,131.9852294921875,1080.522216796875,336.2625732421875,0.6672673225402832
53,860.7353515625,131.95558166503906,1081.0018310546875,336.193603515625,0.6358725428581238
54,860.829345703125,132.25143432617188,1081.67724609375,336.0091247558594,0.5879465937614441
55,861.214111328125,132.2791748046875,1081.971435546875,336.30096435546875,0.4695380926132202
55,861.9256591796875,132.42227172851562,1083.423095703125,337.3323059082031,0.3542180359363556
