frame,elbow_angle,spine_angle,head_knee_distance,foot_angle,bat_x1,bat_y1,bat_x2,bat_y2
0.0,,,,,829.882080078125,123.46929931640624,1063.7080078125,331.01910400390625
1.0,,,,,830.7064208984375,123.57205200195312,1065.00341796875,330.29266357421875
2.0,,,,,830.1943359375,123.65777587890624,1064.67822265625,330.51715087890625
3.0,,,,,830.2523193359375,124.07644653320312,1064.72705078125,330.792724609375
4.0,,,,,830.1107177734375,123.93838500976562,1064.27099609375,331.3270263671875
5.0,,,,,830.0396728515625,124.880615234375,1065.1553955078125,331.0533447265625
6.0,,,,,830.129638671875,124.09884643554688,1063.8743896484375,330.79571533203125
7.0,,,,,830.2991943359375,123.7855224609375,1063.9674072265625,330.7664794921875
8.0,,,,,830.5025634765625,123.783447265625,1063.9954833984375,330.87408447265625
9.0,,,,,830.5767822265625,124.6429443359375,1064.6434326171875,330.8343505859375
10.0,,,,,829.5775146484375,125.99557495117188,1064.6976318359375,331.7435607910156
11.0,,,,,829.8662109375,125.14544677734376,1064.351806640625,331.796630859375
12.0,,,,,829.8323974609375,124.61526489257812,1064.5072021484375,331.7068176269531
13.0,,,,,830.2652587890625,124.50970458984376,1064.2689208984375,331.89471435546875
14.0,,,,,830.39013671875,124.49969482421876,1064.399658203125,331.8639221191406
15.0,,,,,829.427490234375,124.58929443359376,1064.51953125,331.6831970214844
16.0,,,,,828.7974853515625,124.82473754882812,1064.6026611328125,331.83746337890625
17.0,,,,,827.724609375,124.920166015625,1064.8310546875,332.0557861328125
18.0,,,,,828.0765380859375,125.5289306640625,1065.14990234375,332.6921081542969
19.0,,,,,827.013427734375,125.64849853515624,1065.211669921875,332.8408203125
20.0,,,,,827.6522216796875,126.010009765625,1065.9906005859375,332.8602905273437
21.0,,,,,828.818115234375,126.61929321289062,1066.5982666015625,333.1298522949219
22.0,,,,,829.33837890625,125.45358276367188,1067.352783203125,334.0441589355469
23.0,,,,,830.2298583984375,126.20120239257812,1067.7239990234375,334.2379455566406
24.0,,,,,829.9273681640625,126.4307861328125,1068.171875,334.127197265625
25.0,305.562095631174,165.707874262913,0.18422246846854326,133.14116018546522,829.0516357421875,126.5172119140625,1068.609130859375,334.0433959960937
26.0,,,,,829.1790771484375,126.73330688476562,1068.5614013671875,334.29229736328125
27.0,,,,,829.3470458984375,126.76010131835938,1068.8934326171875,334.2574768066406
28.0,,,,,828.99169921875,126.84701538085938,1068.569580078125,334.2846984863281
29.0,,,,,829.73779296875,127.18966674804688,1069.169189453125,334.1634826660156
30.0,302.9421087328409,163.89608897958001,0.15930639688690235,117.84734551697095,830.7855224609375,127.2105712890625,1069.8704833984375,334.3053894042969
31.0,,,,,830.81298828125,127.4434814453125,1070.1929931640625,333.94256591796875
32.0,,,,,831.4112548828125,127.55731201171876,1070.0406494140625,333.92095947265625
33.0,,,,,831.9979248046875,127.52743530273438,1070.5465087890625,333.7953186035156
34.0,,,,,832.76318359375,127.44900512695312,1070.639404296875,333.9900817871094
35.0,,,,,833.465087890625,127.75131225585938,1070.5474853515625,334.1088256835937
36.0,,,,,835.6822509765625,127.22430419921876,1071.0223388671875,333.79266357421875
37.0,,,,,837.7144775390625,127.63308715820312,1071.2745361328125,334.3002014160156
38.0,,,,,839.4979248046875,127.417236328125,1072.3353271484375,333.70672607421875
39.0,,,,,841.1893310546875,127.39254760742188,1073.0057373046875,333.4024353027344
40.0,,,,,843.8756103515625,127.66845703125,1074.55615234375,333.85894775390625
41.0,,,,,846.60595703125,127.94940185546876,1075.35400390625,334.40191650390625
42.0,,,,,849.2752685546875,128.766357421875,1075.6617431640625,334.54656982421875
43.0,281.3548049350157,165.11158044580813,0.1827137900578326,90.07480076010359,851.34716796875,128.88623046875,1075.8585205078125,334.7189636230469
44.0,,,,,854.33935546875,128.9663543701172,1075.678955078125,335.1283569335937
45.0,,,,,856.1201171875,129.5196533203125,1076.23974609375,334.9698486328125
46.0,,,,,857.2052001953125,129.84178161621094,1077.3138427734375,336.0821533203125
47.0,285.9917302074246,170.28772900165993,0.1834331828622975,92.79768092391306,858.9892578125,130.2030029296875,1078.020751953125,336.118408203125
48.0,,,,,860.3975830078125,130.0723419189453,1078.0797119140625,335.50750732421875
49.0,,,,,860.56640625,130.88265991210938,1078.925537109375,335.6482849121094
50.0,,,,,860.7392578125,131.38833618164062,1079.4024658203125,335.9198303222656
51.0,,,,,860.7177734375,131.57894897460938,1079.740478515625,336.4040222167969
52.0,,,,,860.919921875,131.9852294921875,1080.522216796875,336.2625732421875
53.0,,,,,860.7353515625,131.95558166503906,1081.0018310546875,336.193603515625
54.0,,,,,860.829345703125,132.25143432617188,1081.67724609375,336.0091247558594
55.0,,,,,861.214111328125,132.2791748046875,1081.971435546875,336.30096435546875
56.0,,,,,861.5660400390625,132.8889923095703,1082.41455078125,336.45245361328125
57.0,,,,,860.57568359375,133.1121826171875,1082.46435546875,336.44854736328125
58.0,,,,,860.287353515625,133.23646545410156,1083.8095703125,337.6070556640625
59.0,,,,,860.346923828125,133.3577423095703,1083.798828125,337.65142822265625
60.0,,,,,860.649658203125,133.6624755859375,1083.623779296875,337.7225952148437
61.0,,,,,860.730712890625,133.94589233398438,1084.1209716796875,337.9573059082031
62.0,,,,,860.1929931640625,134.07557678222656,1084.8397216796875,338.1480712890625
63.0,,,,,860.8277587890625,134.34649658203125,1086.2315673828125,338.77313232421875
64.0,,,,,861.152587890625,134.762939453125,1086.77734375,339.24859619140625
65.0,,,,,861.2574462890625,135.53102111816406,1087.8797607421875,338.56787109375
66.0,,,,,861.009521484375,135.55679321289062,1088.30908203125,338.4988708496094
67.0,,,,,861.5526123046875,136.08099365234375,1089.2880859375,337.9993896484375
68.0,,,,,859.2769775390625,136.7610626220703,1086.93212890625,336.94439697265625
69.0,,,,,859.8272705078125,136.3039093017578,1088.41650390625,338.7509155273437
70.0,,,,,858.5479736328125,137.01104736328125,1088.5302734375,337.39605712890625
71.0,,,,,858.341796875,137.05715942382812,1087.50830078125,336.7800598144531
72.0,,,,,858.2896728515625,137.0581512451172,1086.05419921875,336.27935791015625
73.0,,,,,858.154296875,136.7630615234375,1085.98193359375,337.2943725585937
74.0,,,,,857.35009765625,136.7825164794922,1084.984375,337.9872436523437
75.0,,,,,856.2900390625,136.81396484375,1084.0740966796875,337.92352294921875
76.0,,,,,854.163330078125,137.3819580078125,1084.267578125,338.28076171875
77.0,,,,,853.3056640625,137.78973388671875,1083.096435546875,339.900146484375
78.0,,,,,852.4146728515625,137.99484252929688,1082.0919189453125,339.6622009277344
79.0,,,,,851.3211669921875,138.01803588867188,1081.5169677734375,339.1855163574219
80.0,,,,,850.86474609375,138.29025268554688,1080.047119140625,338.3818054199219
81.0,,,,,850.440673828125,138.28631591796875,1079.9874267578125,337.9185791015625
82.0,,,,,849.8280029296875,138.4167938232422,1079.4835205078125,338.26885986328125
83.0,,,,,849.1214599609375,140.20574951171875,1080.8450927734375,338.34820556640625
84.0,,,,,848.057373046875,139.9357452392578,1078.94384765625,338.05841064453125
85.0,,,,,846.3690185546875,140.619140625,1076.8232421875,337.467041015625
86.0,,,,,843.3421630859375,141.58999633789062,1076.147216796875,337.8154602050781
87.0,,,,,841.8670654296875,142.45245361328125,1075.912841796875,337.5321655273437
88.0,,,,,841.2603759765625,141.6712646484375,1076.0782470703125,337.8779296875
89.0,,,,,840.3992919921875,141.24327087402344,1076.1925048828125,337.6240234375
90.0,,,,,838.3797607421875,142.24400329589844,1076.6639404296875,335.5509033203125
91.0,,,,,838.8436279296875,142.8421173095703,1076.7216796875,334.68878173828125
92.0,,,,,1.625,28.7889404296875,1162.01904296875,654.9779052734375
93.0,,,,,0.554931640625,23.394775390625,1155.2313232421875,658.4033203125
94.0,,,,,0.279327392578125,78.50921630859375,227.0784149169922,674.2911987304688
95.0,,,,,0.3355865478515625,91.315673828125,214.40042114257807,687.8308715820312
96.0,,,,,0.408111572265625,136.18243408203125,183.70269775390625,693.94091796875
97.0,342.2967222034017,159.60100051617482,0.12886934979625816,122.12470315858462,0.345489501953125,132.544189453125,155.22421264648438,709.7646484375
98.0,,,,,0.2733612060546875,131.8006591796875,147.7358856201172,708.8699340820312
99.0,,,,,0.325714111328125,143.0357666015625,130.1313934326172,712.8458251953125
100.0,,,,,0.02960205078125,147.50823974609375,127.06216430664062,714.8507080078125
101.0,,,,,823.3197021484375,147.99478149414062,1074.3262939453125,334.3341979980469
102.0,,,,,822.052490234375,146.76165771484375,1074.354736328125,334.3173217773437
103.0,,,,,0.113189697265625,174.6070098876953,225.70343017578125,446.8430786132813
104.0,314.71493917403274,157.4488732554697,0.11057577632286969,170.82459582366272,0.1788330078125,183.20628356933597,267.013916015625,453.142822265625
105.0,,,,,818.7454833984375,147.95944213867188,1072.9532470703125,334.6654357910156
106.0,,,,,0.468658447265625,56.4483642578125,337.7606506347656,714.416748046875
107.0,,,,,0.287139892578125,113.49615478515624,335.87213134765625,713.2715454101562
108.0,,,,,812.8214111328125,144.929443359375,1070.9442138671875,335.6542358398437
109.0,,,,,810.1624755859375,146.500244140625,1069.917236328125,335.73992919921875
110.0,,,,,809.1136474609375,148.53738403320312,1068.32470703125,335.6209411621094
111.0,,,,,807.7276611328125,150.24530029296875,1067.6990966796875,335.54644775390625
112.0,324.378391431128,153.78372172795045,0.10341582741152375,72.54973302327726,804.815185546875,149.35650634765625,1066.963623046875,335.26385498046875
113.0,,,,,801.8817138671875,146.43397521972656,1066.3258056640625,335.34130859375
114.0,,,,,800.3099365234375,147.10450744628906,1064.8018798828125,334.914306640625
115.0,,,,,798.9117431640625,148.25875854492188,1064.0462646484375,335.5377502441406
116.0,,,,,0.5084991455078125,4.3123779296875,254.01495361328125,670.5648193359375
117.0,,,,,0.730560302734375,6.92236328125,251.34141540527344,658.8883056640625
118.0,,,,,0.33111572265625,7.65625,245.72848510742188,641.469970703125
119.0,,,,,789.6104736328125,144.56341552734375,1059.49365234375,335.49591064453125
120.0,,,,,787.32470703125,146.04002380371094,1058.558837890625,335.8480224609375
